wdid,structureName,streamMile,latitude,longitude,adminNumber,netAbsolute
7200662,HARDSCRABBLE DITCH,30.4,39.256339,-107.845689,18749.16354,0.5
7200662,HARDSCRABBLE DITCH,30.4,39.256339,-107.845689,22995.22414,0.2
7200662,HARDSCRABBLE DITCH,30.4,39.256339,-107.845689,32811,2.11
7200663,HARKLEROAD DITCH,2.02,39.165182,-108.128595,18749.17803,0.81
7200664,HARPER DITCH,3.25,39.206137,-108.791866,37322,1.5
7200664,HARPER DITCH,3.25,39.206137,-108.791866,46606,0.63
7200665,HARRIS DITCH (OAK CREEK),0.32,39.171288,-107.918096,30895.23542,0.57
7200665,HARRIS DITCH (OAK CREEK),0.32,39.171288,-107.918096,30895.23887,2
7200666,HARRIS PIPELINE,0.22,39.187244,-108.130233,34419.33328,0.1
7200667,HARRISON DITCH,2.08,39.1661,-108.153006,30895.24095,0.27
7200668,HARRISON HEELY DITCH,2.45,39.161326,-108.154991,30895.24095,0.76
7200669,E F HARRISON DITCH,5.68,39.11773,-108.138832,30895.23608,0.52
7200670,W H HARRISON DITCH,5.55,39.119597,-108.139077,30895.23604,0.6624
7200672,HARVEY NO 2 DITCH-HDGT 1,0.99,39.178886,-108.15455,18749.15811,0.36
7200673,HAWKINS DITCH,3.29,39.204029,-107.968209,30895.23607,1.44
7200673,HAWKINS DITCH,3.29,39.204029,-107.968209,32811,0.643
