analysisWdid,analysisStructure,priorityWdid,priorityStructure,sumWtdCount,analysisStreamMile,analysisNetAbs,analysisWaterDistrict,priorityStreamMile,priorityNetAbs,priorityWaterDistrict,edgeWt
5303966,GRIMES BROOKS RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,57.627,5.95,554.06,53,15.77,209199.0,36,31928.815619999998
5104700,WINDY GAP PUMP PL CANAL,3603543,GREEN MOUNTAIN RESERVOIR,57.627,257.52,600.0,51,15.77,209199.0,36,34576.200000000004
5003647,CONFLUENCE RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,57.627,2.94,17.0,50,15.77,209199.0,36,979.659
5003668,WOLFORD MOUNTAIN RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,57.627,13.16,78849.0,50,15.77,209199.0,36,4543831.323
5303955,BEAVER DAM RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,57.627,1.51,13.0,53,15.77,209199.0,36,749.1510000000001
7203854,PALISADE CABIN RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,52.915,5.45,1022.0,72,15.77,209199.0,36,54079.13
3703524,SYLVAN LAKE,5300584,SHOSHONE POWER PLANT,47.831,5.26,1002.58,37,147.54,1408.0,53,47954.40398
5103552,GRAND ELK POND A,3603543,GREEN MOUNTAIN RESERVOIR,38.418,1.3,33.55,51,15.77,209199.0,36,1288.9238999999998
5000617,MCMAHON DITCH,3603543,GREEN MOUNTAIN RESERVOIR,38.418,10.86,4094.0,50,15.77,209199.0,36,157283.292
3703689,CORNWELL POND NO 1,3603543,GREEN MOUNTAIN RESERVOIR,38.418,0.7,0.4,37,15.77,209199.0,36,15.3672
5003645,BINCO RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,38.418,4.5,1033.94,50,15.77,209199.0,36,39721.90692
3603575,CLINTON GULCH RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,38.418,18.41,8710.0,36,15.77,209199.0,36,334620.77999999997
3703684,BRETT RANCH POND,3603543,GREEN MOUNTAIN RESERVOIR,38.418,0.34,7.2,37,15.77,209199.0,36,276.6096
5000734,DEBERARD DITCH OVERFLOW SYSTEM,3603543,GREEN MOUNTAIN RESERVOIR,38.418,3.21,96.4,50,15.77,209199.0,36,3703.4952000000003
3702056,MIN FLOW GORE CR LOWER,3603543,GREEN MOUNTAIN RESERVOIR,38.418,0.01,36.0,37,15.77,209199.0,36,1383.048
3603694,ARAPAHOE BASIN SNOWMAKING RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,38.418,4.78,5.6,36,15.77,209199.0,36,215.14079999999998
3603624,SWAN RIVER WATER SYSTEM PONDS,3603543,GREEN MOUNTAIN RESERVOIR,38.418,1.41,56.0,36,15.77,209199.0,36,2151.408
3703545,CAMP HALE POND NO 1,3603543,GREEN MOUNTAIN RESERVOIR,38.418,60.22,19.0,37,15.77,209199.0,36,729.942
5303518,WASHBURN CABIN POND,3603543,GREEN MOUNTAIN RESERVOIR,38.418,7.25,28.0,53,15.77,209199.0,36,1075.704
5104021,MEADOW SPRINGS RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,38.418,3.19,2.21,51,15.77,209199.0,36,84.90378
3703517,G G RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,38.418,9.27,192.78,37,15.77,209199.0,36,7406.22204
5003646,MARTIN RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,38.418,0.0,216.15,50,15.77,209199.0,36,8304.0507
5103720,VAGABOND RANCH POND,3603543,GREEN MOUNTAIN RESERVOIR,38.418,29.9,1.884,51,15.77,209199.0,36,72.37951199999999
5003651,BASIN RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,38.418,43.8,233.38,50,15.77,209199.0,36,8965.992839999999
5103750,FRASER VALLEY DOWNSTREAM RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,38.418,15.28,5.5,51,15.77,209199.0,36,211.299
5304051,BUCK POND,3603543,GREEN MOUNTAIN RESERVOIR,38.418,3.61,21.4,53,15.77,209199.0,36,822.1451999999999
5103752,KINGS RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,38.418,3.42,1127.35,51,15.77,209199.0,36,43310.5323
3703516,G G LOWER RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,38.418,7.6,36.52,37,15.77,209199.0,36,1403.02536
5003649,HEINI-KRAMER RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,38.418,5.0,38.2,50,15.77,209199.0,36,1467.5676
5104007,GLENN POND NO 1,3603543,GREEN MOUNTAIN RESERVOIR,38.418,5.59,4.74,51,15.77,209199.0,36,182.10132000000002
5100763,KINNEY BARRIGER DITCH,3603543,GREEN MOUNTAIN RESERVOIR,38.418,236.23,65.0,51,15.77,209199.0,36,2497.17
5104008,GLENN POND NO 2,3603543,GREEN MOUNTAIN RESERVOIR,38.418,5.5,2.28,51,15.77,209199.0,36,87.59303999999999
5003648,LEWIS RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,38.418,5.66,93.24,50,15.77,209199.0,36,3582.0943199999997
5003655,MILK CREEK RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,38.418,2.67,185.05,50,15.77,209199.0,36,7109.2509
3603548,HOAGLAND NO 1 RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,38.418,2.97,921.5,36,15.77,209199.0,36,35402.187
5103709,WILLIAMS FORK RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,38.418,2.22,187274.0,51,15.77,209199.0,36,7194692.532
5303976,JONES NO 3 RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,38.418,3.73,84.89,53,15.77,209199.0,36,3261.30402
