#
#
# US Geological Survey, Water Resources Data
# retrieved: 2021-05-17 11:12:48 EDT      (caww01)
#
# This file contains USGS Surface-Water Monthly Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/co/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd    agency code
# site_no USGS site number
# parameter_cd
# ts_id
# year_nu Calendar year for value
# month_nu     Month for value
# mean_va monthly-mean value.
#         if there is not complete record
#         for a month this field is blank
#
#
# Sites in this file include:
# USGS 09163500 COLORADO RIVER NEAR COLORADO-UTAH STATE LINE
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		19083	
#
#
agency_cd	site_no	parameter_cd	ts_id	year_nu	month_nu	mean_va
5s	15s	5s	3n	4s	2s	12n
USGS	09163500	00060	19083	2000	1	3059
USGS	09163500	00060	19083	2000	2	2895
USGS	09163500	00060	19083	2000	3	3242
USGS	09163500	00060	19083	2000	4	5245
USGS	09163500	00060	19083	2000	5	10940
USGS	09163500	00060	19083	2000	6	8640
USGS	09163500	00060	19083	2000	7	3589
USGS	09163500	00060	19083	2000	8	3368
USGS	09163500	00060	19083	2000	9	3640
USGS	09163500	00060	19083	2000	10	3394
USGS	09163500	00060	19083	2000	11	3268
USGS	09163500	00060	19083	2000	12	2867
USGS	09163500	00060	19083	2001	1	2597
USGS	09163500	00060	19083	2001	2	2567
USGS	09163500	00060	19083	2001	3	2834
USGS	09163500	00060	19083	2001	4	3372
USGS	09163500	00060	19083	2001	5	9017
USGS	09163500	00060	19083	2001	6	6310
USGS	09163500	00060	19083	2001	7	3047
USGS	09163500	00060	19083	2001	8	3521
USGS	09163500	00060	19083	2001	9	3505
USGS	09163500	00060	19083	2001	10	3277
USGS	09163500	00060	19083	2001	11	3074
USGS	09163500	00060	19083	2001	12	2505
USGS	09163500	00060	19083	2002	1	2399
USGS	09163500	00060	19083	2002	2	2233
USGS	09163500	00060	19083	2002	3	2347
USGS	09163500	00060	19083	2002	4	2734
USGS	09163500	00060	19083	2002	5	2640
USGS	09163500	00060	19083	2002	6	2431
USGS	09163500	00060	19083	2002	7	1675
USGS	09163500	00060	19083	2002	8	1597
USGS	09163500	00060	19083	2002	9	2094
USGS	09163500	00060	19083	2002	10	2455
USGS	09163500	00060	19083	2002	11	2603
USGS	09163500	00060	19083	2002	12	1980
USGS	09163500	00060	19083	2003	1	1876
USGS	09163500	00060	19083	2003	2	1822
USGS	09163500	00060	19083	2003	3	2030
USGS	09163500	00060	19083	2003	4	2341
USGS	09163500	00060	19083	2003	5	9043
USGS	09163500	00060	19083	2003	6	10100
USGS	09163500	00060	19083	2003	7	3066
USGS	09163500	00060	19083	2003	8	2660
USGS	09163500	00060	19083	2003	9	3637
USGS	09163500	00060	19083	2003	10	3223
USGS	09163500	00060	19083	2003	11	2822
USGS	09163500	00060	19083	2003	12	2391

