analysisWdid,analysisStructure,priorityWdid,priorityStructure,sumWtdCount,analysisStreamMile,analysisNetAbs,analysisWaterDistrict,priorityStreamMile,priorityNetAbs,priorityWaterDistrict,edgeWt
5003646,MARTIN RESERVOIR,5000734,DEBERARD DITCH OVERFLOW SYSTEM,18.0,0.0,216.15,50,3.21,96.4,50,3890.7000000000003
5003646,MARTIN RESERVOIR,5300584,SHOSHONE POWER PLANT,384.0,0.0,216.15,50,147.54,1408.0,53,83001.6
3803593,BAILEY POND NO 2,7200645,GRAND VALLEY CANAL,42.0,0.0,1.0,38,53.09,940.28,72,42.0
3803594,BAILEY POND NO 3,7200645,GRAND VALLEY CANAL,42.0,0.0,1.0,38,53.09,940.28,72,42.0
3703786,GRAHAM POND NO 2,7200645,GRAND VALLEY CANAL,10.0,0.0,0.13,37,53.09,940.28,72,1.3
3802114,MIN FLOW CRYSTAL R LOWER,7200645,GRAND VALLEY CANAL,42.0,0.0,100.0,38,53.09,940.28,72,4200.0
5003646,MARTIN RESERVOIR,5104655,MOFFAT WATER TUNNEL,18.0,0.0,216.15,50,25.36,928.0,51,3890.7000000000003
3803635,MARTIN POND,7200645,GRAND VALLEY CANAL,42.0,0.0,0.1,38,53.09,940.28,72,4.2
5303599,YARMONY LODGE POND B,5300584,SHOSHONE POWER PLANT,192.0,0.0,1.78,53,147.54,1408.0,53,341.76
5303600,YARMONY LODGE POND C,5300584,SHOSHONE POWER PLANT,192.0,0.0,3.01,53,147.54,1408.0,53,577.92
5303598,YARMONY LODGE POND A,5300584,SHOSHONE POWER PLANT,192.0,0.0,6.55,53,147.54,1408.0,53,1257.6
3903558,LAFRENZ POND,7200645,GRAND VALLEY CANAL,42.0,0.0,1.75,39,53.09,940.28,72,73.5
5303599,YARMONY LODGE POND B,7200645,GRAND VALLEY CANAL,10.0,0.0,1.78,53,53.09,940.28,72,17.8
5104018,KOVACS POND NO 1,7200645,GRAND VALLEY CANAL,10.0,0.0,0.65,51,53.09,940.28,72,6.5
3903942,MOORES IRRIGATION POND,7200645,GRAND VALLEY CANAL,42.0,0.0,0.125,39,53.09,940.28,72,5.25
3803592,BAILEY POND NO 1,7200645,GRAND VALLEY CANAL,42.0,0.0,0.55,38,53.09,940.28,72,23.1
3703786,GRAHAM POND NO 2,5104655,MOFFAT WATER TUNNEL,9.0,0.0,0.13,37,25.36,928.0,51,1.17
3804146,BRITVAR POND,7200645,GRAND VALLEY CANAL,42.0,0.0,0.23,38,53.09,940.28,72,9.66
3804137,OGARA POND,7200645,GRAND VALLEY CANAL,42.0,0.0,2.0,38,53.09,940.28,72,84.0
5003646,MARTIN RESERVOIR,7200645,GRAND VALLEY CANAL,20.0,0.0,216.15,50,53.09,940.28,72,4323.0
3803936,PAN AND FORK RESERVOIR,7200645,GRAND VALLEY CANAL,42.0,0.0,0.5,38,53.09,940.28,72,21.0
5303600,YARMONY LODGE POND C,7200645,GRAND VALLEY CANAL,10.0,0.0,3.01,53,53.09,940.28,72,30.099999999999998
5104019,KOVACS POND NO 2,7200645,GRAND VALLEY CANAL,10.0,0.0,1.05,51,53.09,940.28,72,10.5
5303598,YARMONY LODGE POND A,7200645,GRAND VALLEY CANAL,10.0,0.0,6.55,53,53.09,940.28,72,65.5
3903998,HILMES POND,7200645,GRAND VALLEY CANAL,42.0,0.0,1.0,39,53.09,940.28,72,42.0
4503606,DILLMAN DITCH FISH POND,7200645,GRAND VALLEY CANAL,42.0,0.0,4.8,45,53.09,940.28,72,201.6
5003652,COLBURN RESERVOIR,5104655,MOFFAT WATER TUNNEL,9.0,0.0,16.0,50,25.36,928.0,51,144.0
5003652,COLBURN RESERVOIR,5000734,DEBERARD DITCH OVERFLOW SYSTEM,9.0,0.0,16.0,50,3.21,96.4,50,144.0
5003653,COLBURN RESERVOIR NO 2,5104655,MOFFAT WATER TUNNEL,9.0,0.0,23.0,50,25.36,928.0,51,207.0
3900672,THOMPKINS DITCH,7200645,GRAND VALLEY CANAL,42.0,0.0,21.0,39,53.09,940.28,72,882.0
5003653,COLBURN RESERVOIR NO 2,5000734,DEBERARD DITCH OVERFLOW SYSTEM,9.0,0.0,23.0,50,3.21,96.4,50,207.0
7204097,SCHORN RESERVOIR NO 10,7200645,GRAND VALLEY CANAL,42.0,0.0,5.0,72,53.09,940.28,72,210.0
5104019,KOVACS POND NO 2,5104655,MOFFAT WATER TUNNEL,9.0,0.0,1.05,51,25.36,928.0,51,9.450000000000001
3903505,GRASS VALLEY RESERVOIR,7200645,GRAND VALLEY CANAL,42.0,0.0,6989.2,39,53.09,940.28,72,293546.39999999997
