analysisWdid,analysisStructure,priorityWdid,priorityStructure,sumWtdCount,analysisStreamMile,analysisNetAbs,analysisWaterDistrict,priorityStreamMile,priorityNetAbs,priorityWaterDistrict
3903505,GRASS VALLEY RESERVOIR,5101313,FRASER RIVER DIVERSION PROJECT - FAUN CREEK,1.0,0.0,6989.2,39,23.05,50.67,51
3803936,PAN AND FORK RESERVOIR,7200645,GRAND VALLEY CANAL,1.9169999999999998,0.0,0.5,38,53.09,940.28,72
3803635,MARTIN POND,7200645,GRAND VALLEY CANAL,1.9169999999999998,0.0,0.1,38,53.09,940.28,72
5003653,COLBURN RESERVOIR NO 2,3704516,HOMESTAKE PROJ RESERVOIR,3.6660000000000004,0.0,23.0,50,13.87,43989.7,37
5003652,COLBURN RESERVOIR,3704516,HOMESTAKE PROJ RESERVOIR,3.6660000000000004,0.0,16.0,50,13.87,43989.7,37
3703786,GRAHAM POND NO 2,3704516,HOMESTAKE PROJ RESERVOIR,3.6660000000000004,0.0,0.13,37,13.87,43989.7,37
3703536,MIN LAKE BENCH LAKE NO 1,3704516,HOMESTAKE PROJ RESERVOIR,3.6660000000000004,0.0,9.0,37,13.87,43989.7,37
5003646,MARTIN RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,107.458,0.0,216.15,50,15.77,209199.0,36
5104019,KOVACS POND NO 2,3704516,HOMESTAKE PROJ RESERVOIR,3.6660000000000004,0.0,1.05,51,13.87,43989.7,37
5104018,KOVACS POND NO 1,3704516,HOMESTAKE PROJ RESERVOIR,3.6660000000000004,0.0,0.65,51,13.87,43989.7,37
5103526,CORRAL CREEK WETLAND NO1,3704516,HOMESTAKE PROJ RESERVOIR,3.6660000000000004,0.0,26.8,51,13.87,43989.7,37
3703536,MIN LAKE BENCH LAKE NO 1,3603543,GREEN MOUNTAIN RESERVOIR,53.729,0.0,9.0,37,15.77,209199.0,36
3703786,GRAHAM POND NO 2,7200646,GRAND VALLEY PROJECT,5.209,0.0,0.13,37,61.8,2313.7,72
3703536,MIN LAKE BENCH LAKE NO 1,7200646,GRAND VALLEY PROJECT,5.209,0.0,9.0,37,61.8,2313.7,72
3703786,GRAHAM POND NO 2,3603543,GREEN MOUNTAIN RESERVOIR,53.729,0.0,0.13,37,15.77,209199.0,36
5104018,KOVACS POND NO 1,7200646,GRAND VALLEY PROJECT,5.209,0.0,0.65,51,61.8,2313.7,72
5104019,KOVACS POND NO 2,7200646,GRAND VALLEY PROJECT,5.209,0.0,1.05,51,61.8,2313.7,72
5003653,COLBURN RESERVOIR NO 2,3603543,GREEN MOUNTAIN RESERVOIR,53.729,0.0,23.0,50,15.77,209199.0,36
5003652,COLBURN RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,53.729,0.0,16.0,50,15.77,209199.0,36
5103526,CORRAL CREEK WETLAND NO1,7200646,GRAND VALLEY PROJECT,5.209,0.0,26.8,51,61.8,2313.7,72
5104019,KOVACS POND NO 2,3603543,GREEN MOUNTAIN RESERVOIR,53.729,0.0,1.05,51,15.77,209199.0,36
3703786,GRAHAM POND NO 2,3604684,BLUE RIVER DIVERSION PROJECT,20.5,0.0,0.13,37,45.59,520.0,36
5104018,KOVACS POND NO 1,3603543,GREEN MOUNTAIN RESERVOIR,53.729,0.0,0.65,51,15.77,209199.0,36
5003652,COLBURN RESERVOIR,7200646,GRAND VALLEY PROJECT,5.209,0.0,16.0,50,61.8,2313.7,72
5003653,COLBURN RESERVOIR NO 2,7200646,GRAND VALLEY PROJECT,5.209,0.0,23.0,50,61.8,2313.7,72
5003646,MARTIN RESERVOIR,3704516,HOMESTAKE PROJ RESERVOIR,7.332000000000001,0.0,216.15,50,13.87,43989.7,37
3803592,BAILEY POND NO 1,7200645,GRAND VALLEY CANAL,1.9169999999999998,0.0,0.55,38,53.09,940.28,72
3803593,BAILEY POND NO 2,7200645,GRAND VALLEY CANAL,1.9169999999999998,0.0,1.0,38,53.09,940.28,72
3803594,BAILEY POND NO 3,7200645,GRAND VALLEY CANAL,1.9169999999999998,0.0,1.0,38,53.09,940.28,72
3803553,ASPEN VALLEY RANCH POND,7200645,GRAND VALLEY CANAL,1.9169999999999998,0.0,5.0,38,53.09,940.28,72
5104018,KOVACS POND NO 1,5300584,SHOSHONE POWER PLANT,174.457,0.0,0.65,51,147.54,1408.0,53
