analysisWdid,analysisStructure,priorityWdid,priorityStructure,sumWtdCount,analysisStreamMile,analysisNetAbs,analysisWaterDistrict,priorityStreamMile,priorityNetAbs,priorityWaterDistrict
3802010,MIN FLOW S FK CRYSTAL R,3802114,MIN FLOW CRYSTAL R LOWER,21.0,0.0,17.0,38,0.0,100.0,38
5303600,YARMONY LODGE POND C,7200645,GRAND VALLEY CANAL,7.166,0.0,3.01,53,53.09,940.28,72
5003646,MARTIN RESERVOIR,5300584,SHOSHONE POWER PLANT,90.75200000000001,0.0,216.15,50,147.54,1408.0,53
5104019,KOVACS POND NO 2,7200645,GRAND VALLEY CANAL,7.166,0.0,1.05,51,53.09,940.28,72
5003652,COLBURN RESERVOIR,5300584,SHOSHONE POWER PLANT,45.376000000000005,0.0,16.0,50,147.54,1408.0,53
5104018,KOVACS POND NO 1,7200645,GRAND VALLEY CANAL,7.166,0.0,0.65,51,53.09,940.28,72
3903558,LAFRENZ POND,7200645,GRAND VALLEY CANAL,7.166,0.0,1.75,39,53.09,940.28,72
3802010,MIN FLOW S FK CRYSTAL R,7200645,GRAND VALLEY CANAL,5.916,0.0,17.0,38,53.09,940.28,72
4503606,DILLMAN DITCH FISH POND,7200645,GRAND VALLEY CANAL,7.166,0.0,4.8,45,53.09,940.28,72
3802011,MIN FLOW N FK CRYSTAL R,7200645,GRAND VALLEY CANAL,5.916,0.0,20.0,38,53.09,940.28,72
3804137,OGARA POND,7200645,GRAND VALLEY CANAL,7.166,0.0,2.0,38,53.09,940.28,72
3802114,MIN FLOW CRYSTAL R LOWER,7200645,GRAND VALLEY CANAL,5.916,0.0,100.0,38,53.09,940.28,72
3903942,MOORES IRRIGATION POND,7200645,GRAND VALLEY CANAL,7.166,0.0,0.125,39,53.09,940.28,72
3703786,GRAHAM POND NO 2,7200645,GRAND VALLEY CANAL,7.166,0.0,0.13,37,53.09,940.28,72
3803592,BAILEY POND NO 1,7200645,GRAND VALLEY CANAL,7.166,0.0,0.55,38,53.09,940.28,72
3703536,MIN LAKE BENCH LAKE NO 1,5300584,SHOSHONE POWER PLANT,45.376000000000005,0.0,9.0,37,147.54,1408.0,53
3803594,BAILEY POND NO 3,7200645,GRAND VALLEY CANAL,7.166,0.0,1.0,38,53.09,940.28,72
3803635,MARTIN POND,7200645,GRAND VALLEY CANAL,7.166,0.0,0.1,38,53.09,940.28,72
5003653,COLBURN RESERVOIR NO 2,5300584,SHOSHONE POWER PLANT,45.376000000000005,0.0,23.0,50,147.54,1408.0,53
5104019,KOVACS POND NO 2,5300584,SHOSHONE POWER PLANT,45.376000000000005,0.0,1.05,51,147.54,1408.0,53
5103526,CORRAL CREEK WETLAND NO1,7200645,GRAND VALLEY CANAL,7.166,0.0,26.8,51,53.09,940.28,72
3903998,HILMES POND,7200645,GRAND VALLEY CANAL,7.166,0.0,1.0,39,53.09,940.28,72
3804146,BRITVAR POND,7200645,GRAND VALLEY CANAL,7.166,0.0,0.23,38,53.09,940.28,72
3803593,BAILEY POND NO 2,7200645,GRAND VALLEY CANAL,7.166,0.0,1.0,38,53.09,940.28,72
5303599,YARMONY LODGE POND B,7200645,GRAND VALLEY CANAL,7.166,0.0,1.78,53,53.09,940.28,72
5003646,MARTIN RESERVOIR,7200645,GRAND VALLEY CANAL,14.332,0.0,216.15,50,53.09,940.28,72
5104018,KOVACS POND NO 1,5300584,SHOSHONE POWER PLANT,45.376000000000005,0.0,0.65,51,147.54,1408.0,53
5303598,YARMONY LODGE POND A,5300584,SHOSHONE POWER PLANT,45.376000000000005,0.0,6.55,53,147.54,1408.0,53
3703536,MIN LAKE BENCH LAKE NO 1,7200645,GRAND VALLEY CANAL,7.166,0.0,9.0,37,53.09,940.28,72
5003653,COLBURN RESERVOIR NO 2,7200645,GRAND VALLEY CANAL,7.166,0.0,23.0,50,53.09,940.28,72
5003652,COLBURN RESERVOIR,7200645,GRAND VALLEY CANAL,7.166,0.0,16.0,50,53.09,940.28,72
3903505,GRASS VALLEY RESERVOIR,7200645,GRAND VALLEY CANAL,7.166,0.0,6989.2,39,53.09,940.28,72
5303599,YARMONY LODGE POND B,5300584,SHOSHONE POWER PLANT,45.376000000000005,0.0,1.78,53,147.54,1408.0,53
3900672,THOMPKINS DITCH,3900687,WARE AND HINDS DITCH,39.0,0.0,21.0,39,0.85,47.293,39
3703786,GRAHAM POND NO 2,5300584,SHOSHONE POWER PLANT,45.376000000000005,0.0,0.13,37,147.54,1408.0,53
3803553,ASPEN VALLEY RANCH POND,7200645,GRAND VALLEY CANAL,7.166,0.0,5.0,38,53.09,940.28,72
5103526,CORRAL CREEK WETLAND NO1,5300584,SHOSHONE POWER PLANT,45.376000000000005,0.0,26.8,51,147.54,1408.0,53
5303600,YARMONY LODGE POND C,5300584,SHOSHONE POWER PLANT,45.376000000000005,0.0,3.01,53,147.54,1408.0,53
