analysisWdid,analysisStructure,priorityWdid,priorityStructure,sumWtdCount,analysisStreamMile,analysisNetAbs,analysisWaterDistrict,priorityStreamMile,priorityNetAbs,priorityWaterDistrict
5003646,MARTIN RESERVOIR,5000734,DEBERARD DITCH OVERFLOW SYSTEM,18.0,0.0,216.15,50,3.21,96.4,50
5003646,MARTIN RESERVOIR,5300584,SHOSHONE POWER PLANT,384.0,0.0,216.15,50,147.54,1408.0,53
3803593,BAILEY POND NO 2,7200645,GRAND VALLEY CANAL,42.0,0.0,1.0,38,53.09,940.28,72
3803594,BAILEY POND NO 3,7200645,GRAND VALLEY CANAL,42.0,0.0,1.0,38,53.09,940.28,72
3703786,GRAHAM POND NO 2,7200645,GRAND VALLEY CANAL,10.0,0.0,0.13,37,53.09,940.28,72
3802114,MIN FLOW CRYSTAL R LOWER,7200645,GRAND VALLEY CANAL,42.0,0.0,100.0,38,53.09,940.28,72
5003646,MARTIN RESERVOIR,5104655,MOFFAT WATER TUNNEL,18.0,0.0,216.15,50,25.36,928.0,51
3803635,MARTIN POND,7200645,GRAND VALLEY CANAL,42.0,0.0,0.1,38,53.09,940.28,72
5303599,YARMONY LODGE POND B,5300584,SHOSHONE POWER PLANT,192.0,0.0,1.78,53,147.54,1408.0,53
5303600,YARMONY LODGE POND C,5300584,SHOSHONE POWER PLANT,192.0,0.0,3.01,53,147.54,1408.0,53
5303598,YARMONY LODGE POND A,5300584,SHOSHONE POWER PLANT,192.0,0.0,6.55,53,147.54,1408.0,53
3903558,LAFRENZ POND,7200645,GRAND VALLEY CANAL,42.0,0.0,1.75,39,53.09,940.28,72
5303599,YARMONY LODGE POND B,7200645,GRAND VALLEY CANAL,10.0,0.0,1.78,53,53.09,940.28,72
5104018,KOVACS POND NO 1,7200645,GRAND VALLEY CANAL,10.0,0.0,0.65,51,53.09,940.28,72
3903942,MOORES IRRIGATION POND,7200645,GRAND VALLEY CANAL,42.0,0.0,0.125,39,53.09,940.28,72
3803592,BAILEY POND NO 1,7200645,GRAND VALLEY CANAL,42.0,0.0,0.55,38,53.09,940.28,72
3703786,GRAHAM POND NO 2,5104655,MOFFAT WATER TUNNEL,9.0,0.0,0.13,37,25.36,928.0,51
3804146,BRITVAR POND,7200645,GRAND VALLEY CANAL,42.0,0.0,0.23,38,53.09,940.28,72
3804137,OGARA POND,7200645,GRAND VALLEY CANAL,42.0,0.0,2.0,38,53.09,940.28,72
5003646,MARTIN RESERVOIR,7200645,GRAND VALLEY CANAL,20.0,0.0,216.15,50,53.09,940.28,72
3803936,PAN AND FORK RESERVOIR,7200645,GRAND VALLEY CANAL,42.0,0.0,0.5,38,53.09,940.28,72
5303600,YARMONY LODGE POND C,7200645,GRAND VALLEY CANAL,10.0,0.0,3.01,53,53.09,940.28,72
5104019,KOVACS POND NO 2,7200645,GRAND VALLEY CANAL,10.0,0.0,1.05,51,53.09,940.28,72
5303598,YARMONY LODGE POND A,7200645,GRAND VALLEY CANAL,10.0,0.0,6.55,53,53.09,940.28,72
3903998,HILMES POND,7200645,GRAND VALLEY CANAL,42.0,0.0,1.0,39,53.09,940.28,72
4503606,DILLMAN DITCH FISH POND,7200645,GRAND VALLEY CANAL,42.0,0.0,4.8,45,53.09,940.28,72
5003652,COLBURN RESERVOIR,5104655,MOFFAT WATER TUNNEL,9.0,0.0,16.0,50,25.36,928.0,51
5003652,COLBURN RESERVOIR,5000734,DEBERARD DITCH OVERFLOW SYSTEM,9.0,0.0,16.0,50,3.21,96.4,50
5003653,COLBURN RESERVOIR NO 2,5104655,MOFFAT WATER TUNNEL,9.0,0.0,23.0,50,25.36,928.0,51
3900672,THOMPKINS DITCH,7200645,GRAND VALLEY CANAL,42.0,0.0,21.0,39,53.09,940.28,72
5003653,COLBURN RESERVOIR NO 2,5000734,DEBERARD DITCH OVERFLOW SYSTEM,9.0,0.0,23.0,50,3.21,96.4,50
7204097,SCHORN RESERVOIR NO 10,7200645,GRAND VALLEY CANAL,42.0,0.0,5.0,72,53.09,940.28,72
5104019,KOVACS POND NO 2,5104655,MOFFAT WATER TUNNEL,9.0,0.0,1.05,51,25.36,928.0,51
3903505,GRASS VALLEY RESERVOIR,7200645,GRAND VALLEY CANAL,42.0,0.0,6989.2,39,53.09,940.28,72
3802011,MIN FLOW N FK CRYSTAL R,7200645,GRAND VALLEY CANAL,42.0,0.0,20.0,38,53.09,940.28,72
3703536,MIN LAKE BENCH LAKE NO 1,5104655,MOFFAT WATER TUNNEL,9.0,0.0,9.0,37,25.36,928.0,51
5303598,YARMONY LODGE POND A,5104655,MOFFAT WATER TUNNEL,9.0,0.0,6.55,53,25.36,928.0,51
3703786,GRAHAM POND NO 2,5300584,SHOSHONE POWER PLANT,192.0,0.0,0.13,37,147.54,1408.0,53
5003652,COLBURN RESERVOIR,7200645,GRAND VALLEY CANAL,10.0,0.0,16.0,50,53.09,940.28,72
5104018,KOVACS POND NO 1,5104655,MOFFAT WATER TUNNEL,9.0,0.0,0.65,51,25.36,928.0,51
3703536,MIN LAKE BENCH LAKE NO 1,5300584,SHOSHONE POWER PLANT,192.0,0.0,9.0,37,147.54,1408.0,53
5103526,CORRAL CREEK WETLAND NO1,5300584,SHOSHONE POWER PLANT,192.0,0.0,26.8,51,147.54,1408.0,53
5103526,CORRAL CREEK WETLAND NO1,5104655,MOFFAT WATER TUNNEL,9.0,0.0,26.8,51,25.36,928.0,51
